ContestOrder,Contest,Contest ID,Choice,BallotsWith Contest,Votes,Overvoted WithVote for this Choice,Undervoted WithoutVote for this Choice,Ballots WithVotes for Others
200,"US Representative, 1st District (Vote for 1)",8,Suzanne Bonamici,"33,966","27,710",1,"1,037","5,218"
200,"US Representative, 1st District (Vote for 1)",8,John Verbeek,"33,966","4,183",0,"1,037","28,746"
200,"US Representative, 1st District (Vote for 1)",8,Drew A Layda,"33,966","1,007",1,"1,037","31,921"
200,"US Representative, 1st District (Vote for 1)",8,Write-in,"33,966",28,0,"1,037","32,901"
250,"US Representative, 3rd District (Vote for 1)",13,Earl Blumenauer,"345,179","257,794",32,"9,349","78,004"
250,"US Representative, 3rd District (Vote for 1)",13,Tom Harrison,"345,179","52,078",16,"9,349","283,736"
250,"US Representative, 3rd District (Vote for 1)",13,Marc W Koller,"345,179","19,554",19,"9,349","316,257"
250,"US Representative, 3rd District (Vote for 1)",13,Gary Lyndon Dye,"345,179","4,790",7,"9,349","331,033"
250,"US Representative, 3rd District (Vote for 1)",13,Michael Marsh,"345,179","1,155",6,"9,349","334,669"
250,"US Representative, 3rd District (Vote for 1)",13,Write-in,"345,179",421,2,"9,349","335,407"
300,"US Representative, 5th District (Vote for 1)",23,Kurt Schrader,"4,180","3,005",1,118,"1,056"
300,"US Representative, 5th District (Vote for 1)",23,Mark Callahan,"4,180",921,0,118,"3,141"
300,"US Representative, 5th District (Vote for 1)",23,Dan Souza,"4,180",76,0,118,"3,986"
300,"US Representative, 5th District (Vote for 1)",23,Marvin Sandnes,"4,180",57,1,118,"4,004"
300,"US Representative, 5th District (Vote for 1)",23,Write-in,"4,180",2,0,118,"4,060"
350,Governor (Vote for 1),12,Kate Brown,"382,593","279,384",31,"4,453","98,725"
350,Governor (Vote for 1),12,Knute Buehler,"382,593","83,507",24,"4,453","294,609"
350,Governor (Vote for 1),12,Patrick Starnes,"382,593","6,309",6,"4,453","371,825"
350,Governor (Vote for 1),12,Nick Chen,"382,593","4,447",9,"4,453","373,684"
350,Governor (Vote for 1),12,Chris Henry,"382,593","2,174",6,"4,453","375,960"
350,Governor (Vote for 1),12,Aaron Auer,"382,593","1,793",5,"4,453","376,342"
350,Governor (Vote for 1),12,Write-in,"382,593",484,6,"4,453","377,650"
600,"State Senator, 16th District (Vote for 1)",20,Betsy Johnson,"3,419","2,683",0,382,354
