PRESIDENT (DEM),Precinct,Voters,Trnout,Pct,"Lyndon H Larouche, Jr",John F Kerry,Dennis J Kucinich,Over Votes,Under Votes,,,
,101,162,65,40.12,2,48,7,0,7,,,
,102,454,153,33.7,6,113,11,0,15,,,
,103,329,145,44.07,3,102,15,0,19,,,
,104,421,166,39.43,7,116,13,0,20,,,
,105,386,111,28.76,4,80,14,0,6,,,
,106,350,142,40.57,8,92,14,0,20,,,
,107,139,61,43.88,0,50,5,0,5,,,
,108,55,25,45.45,0,17,0,0,8,,,
,109,55,26,47.27,2,14,4,0,4,,,
,110,254,158,62.2,5,104,26,0,18,,,
,111,591,242,40.95,14,167,28,0,27,,,
,112,26,15,57.69,1,8,3,0,2,,,
,113,217,105,48.39,8,70,13,0,9,,,
,114,69,36,52.17,0,24,4,0,5,,,
,115,69,44,63.77,3,29,7,0,4,,,
,116,59,27,45.76,0,20,0,0,6,,,
,117,41,21,51.22,0,15,3,0,3,,,
,119,46,19,41.3,2,11,2,0,3,,,
,120,291,98,33.68,4,63,5,0,21,,,
,121,138,50,36.23,0,36,8,0,5,,,
,123,181,64,35.36,1,42,6,0,5,,,
,124,204,120,58.82,4,71,18,0,19,,,
,125,204,111,54.41,8,67,14,0,17,,,
,126,402,152,37.81,6,121,8,0,12,,,
,127,152,79,51.97,4,57,6,0,6,,,
,128,549,261,47.54,12,186,23,0,30,,,
,129,298,120,40.27,4,94,8,0,12,,,
,130,376,156,41.49,11,112,11,0,15,,,
,131,206,80,38.83,5,50,9,0,14,,,
,132,273,116,42.49,2,88,7,0,15,,,
,133,267,107,40.07,2,74,9,0,13,,,
,136,389,201,51.67,5,131,28,0,30,,,
,137,342,165,48.25,10,110,16,0,23,,,
,138,369,232,62.87,4,172,22,0,28,,,
,139,365,240,65.75,2,177,29,0,25,,,
,140,105,48,45.71,1,34,5,0,8,,,
,141,309,205,66.34,3,151,26,0,20,,,
,142,270,190,70.37,5,126,25,0,28,,,
,143,421,264,62.71,3,192,27,0,35,,,
,TOTAL,9834,4620,46.98,161,3234,479,0,562,,,
SENATOR (DEM),Precinct,Voters,Trnout,Pct,Ron Wyden,Over Votes,Under Votes,,,,,
,101,162,65,40.12,57,0,8,,,,,
,102,454,153,33.7,134,0,19,,,,,
,103,329,145,44.07,125,0,19,,,,,
,104,421,166,39.43,137,0,26,,,,,
