House 2nd Dist (DEM),Precinct,Charles H. Butcher III,Scott Silver,Dan Davis,Carol Voisin,Write-ins,Over Votes,Under Votes,Trnout,,,,
,1,8,10,14,22,4,0,18,76,,,,
,2,4,9,8,21,0,0,23,65,,,,
,3,2,6,7,11,1,0,5,32,,,,
,4,15,12,19,30,3,0,28,107,,,,
,5,17,25,44,78,4,1,71,240,,,,
,6,14,9,18,42,4,0,21,108,,,,
,7,0,1,5,6,0,0,4,16,,,,
,8,7,11,25,21,2,0,53,119,,,,
,9,5,5,8,11,5,0,8,42,,,,
,10,5,11,22,18,0,1,23,80,,,,
,11,14,26,29,60,7,1,76,213,,,,
,12,2,4,2,2,1,0,2,13,,,,
,13,14,20,22,28,1,0,41,126,,,,
,14,4,17,8,20,1,0,17,67,,,,
,15,16,28,40,37,3,0,60,184,,,,
,16,5,14,18,20,4,0,32,93,,,,
,17,30,49,81,110,9,0,110,389,,,,
,TOTAL,162,257,370,537,49,3,592,1970,,,,
Governor (DEM),Precinct,Pete Sorenson,Ted Kulongoski,Jim Hill,Write-ins,Over Votes,Under Votes,Trnout,,,,,
,1,9,32,30,1,0,4,76,,,,,
,2,10,26,24,0,0,5,65,,,,,
,3,2,25,5,0,0,0,32,,,,,
,4,29,26,40,3,0,9,107,,,,,
,5,31,110,76,9,1,13,240,,,,,
,6,11,51,36,3,0,7,108,,,,,
,7,6,3,7,0,0,0,16,,,,,
,8,17,49,41,3,0,9,119,,,,,
,9,8,20,13,0,0,1,42,,,,,
,10,11,40,24,2,0,3,80,,,,,
,11,30,98,61,6,0,18,213,,,,,
,12,5,6,2,0,0,0,13,,,,,
,13,23,61,29,1,0,12,126,,,,,
,14,11,32,22,0,0,2,67,,,,,
,15,33,78,58,6,0,9,184,,,,,
,16,22,39,21,1,0,10,93,,,,,
,17,79,163,104,7,0,36,389,,,,,
,TOTAL,337,859,593,42,1,138,1970,,,,,
State House 55th Dist (DEM),Precinct,Write-ins,Under Votes,Trnout,,,,,,,,,
,1,5,71,76,,,,,,,,,
,2,1,64,65,,,,,,,,,
,3,1,31,32,,,,,,,,,
,4,1,106,107,,,,,,,,,
