PRESIDENT (REP),Precinct,Voters,Trnout,Pct,Under Votes,Over Votes,George W Bush,Alan Keys,,,
,101,185,79,42.7,9,0,62,8,,,
,102,412,162,39.3,10,0,129,23,,,
,103,546,230,42.1,12,1,192,25,,,
,104,515,195,37.9,24,0,150,21,,,
,105,350,142,40.6,9,0,120,13,,,
,106,371,139,37.5,11,1,112,15,,,
,107,190,64,33.7,1,0,59,4,,,
,108,164,85,51.8,2,0,78,5,,,
,109,113,65,57.5,8,0,47,10,,,
,110,449,212,47.2,13,0,175,24,,,
,111,489,223,45.6,17,0,180,26,,,
,112,43,29,67.4,1,0,24,4,,,
,113,275,127,46.1,9,0,108,10,,,
,114,210,98,46.7,9,0,80,9,,,
,115,129,64,49.6,10,0,49,5,,,
,116,36,19,52.8,0,0,16,3,,,
,117,61,27,44.2,1,1,24,1,,,
,119,72,32,44.4,3,0,27,2,,,
,120,520,260,50,29,2,214,15,,,
,121,238,124,52.1,21,0,95,8,,,
,123,315,174,55.2,19,0,141,14,,,
,124,370,144,38.9,7,0,122,15,,,
,125,217,84,38.7,7,0,68,9,,,
,126,298,142,47.7,8,0,113,21,,,
,127,231,135,58.4,15,1,110,9,,,
,128,478,241,50.4,19,3,190,29,,,
,129,250,117,46.8,16,0,88,13,,,
,130,517,254,49.1,19,0,203,32,,,
,131,191,109,57,10,0,89,10,,,
,132,392,263,67,31,1,201,30,,,
,133,301,200,66.4,22,0,161,17,,,
,136,396,172,43.4,16,0,139,17,,,
,137,345,145,42,15,2,103,25,,,
,138,493,270,54.8,36,1,198,35,,,
,139,549,292,53.2,27,6,234,25,,,
,140,68,37,54.4,3,0,30,4,,,
,141,353,177,50.1,11,0,151,15,,,
,142,341,152,44.6,13,0,118,21,,,
,143,427,186,43.6,23,1,133,29,,,
,TOTAL,11900,5670,47.6,516,20,4533,601,,,
HOUSE 2ND DISTRICT (REP),Precinct,Voters,Trnout,Pct,Under Votes,Over Votes,Greg Walden,,,,
,101,185,79,42.7,18,0,61,,,,
,102,412,162,39.3,40,0,122,,,,
,103,546,230,42.1,37,0,193,,,,
,104,515,195,37.9,40,0,155,,,,
,105,350,142,40.6,30,0,112,,,,
,106,371,139,37.5,26,0,113,,,,
,107,190,64,33.7,7,0,57,,,,
,108,164,85,51.8,15,0,70,,,,
,109,113,65,57.5,15,0,50,,,,
,110,449,212,47.2,49,0,163,,,,
,111,489,223,45.6,40,0,183,,,,
,112,43,29,67.4,3,0,26,,,,
,113,275,127,46.1,21,0,106,,,,
,114,210,98,46.7,13,0,85,,,,
,115,129,64,49.6,8,0,56,,,,
,116,36,19,52.8,6,0,13,,,,
,117,61,27,44.2,2,0,25,,,,
,119,72,32,44.4,9,0,23,,,,
,120,520,260,50,85,0,175,,,,
,121,238,124,52.1,40,0,84,,,,
,123,315,174,55.2,53,0,121,,,,
,124,370,144,38.9,22,0,122,,,,
,125,217,84,38.7,20,0,64,,,,
,126,298,142,47.7,28,0,114,,,,
,127,231,135,58.4,25,0,110,,,,
,128,478,241,50.4,43,0,198,,,,
,129,250,117,46.8,20,0,97,,,,
,130,517,254,49.1,52,0,202,,,,
,131,191,109,57,28,0,81,,,,
,132,392,263,67,55,0,208,,,,
,133,301,200,66.4,51,0,149,,,,
,136,396,172,43.4,33,0,139,,,,
,137,345,145,42,29,0,116,,,,
,138,493,270,54.8,55,0,215,,,,
,139,549,292,53.2,40,0,252,,,,
,140,66,37,54.4,1,0,36,,,,
,141,353,177,50.1,29,0,148,,,,
,142,341,152,44.6,27,0,125,,,,
,143,427,186,43.6,33,0,153,,,,
,TOTAL,11900,5670,47.6,1148,0,4522,,,,
